feature,coefficient,abs_coefficient
age,1.0252160188533748,1.0252160188533748
age_band_young,0.7015793832794286,0.7015793832794286
tumor_size,0.6154821755699844,0.6154821755699844
integrative_cluster_2,0.544645400186309,0.544645400186309
integrative_cluster_5,0.528480916642004,0.528480916642004
three_gene_subtype_ER+/HER2- High Prolif,0.4537503818810958,0.4537503818810958
tumor_stage_burden,-0.4505970964495909,0.4505970964495909
integrative_cluster_1,-0.44773884444808537,0.44773884444808537
tumor_size_band_large,-0.42843790824015116,0.42843790824015116
receptor_profile_ER_Positive__PR_Positive__HER2_Positive,-0.42836098348787605,0.42836098348787605
receptor_profile_ER_Negative__PR_Positive__HER2_Negative,-0.427720087193985,0.427720087193985
age_band_older,-0.4172704324056825,0.4172704324056825
her2_status_measured_by_snp6_Undef,-0.3941504061521993,0.3941504061521993
er_status_Negative,-0.3783156878357022,0.3783156878357022
integrative_cluster_10,-0.37409694150950207,0.37409694150950207
age_band_middle,-0.36457282806123203,0.36457282806123203
three_gene_subtype_HER2+,-0.35631931961028507,0.35631931961028507
receptor_profile_ER_Positive__PR_Positive__HER2_Negative,0.3478054474640335,0.3478054474640335
tumor_other_histologic_subtype_Medullary,-0.3350419654684331,0.3350419654684331
tumor_other_histologic_subtype_Tubular/ cribriform,0.3017162154275282,0.3017162154275282
