raw_column,sanitized_column,raw_dtype,clean_dtype,missing_count,missing_rate,unique_count,examples
Patient ID,patient_id,str,string,0,0.0,2509,"MB-0000, MB-0002, MB-0005, MB-0006, MB-0008"
Age at Diagnosis,age,float64,float64,11,0.00438421681944998,1843,"75.65, 43.19, 48.87, 47.68, 76.97"
Type of Breast Surgery,type_of_breast_surgery,str,string,554,0.22080510163411718,2,"Mastectomy, Breast Conserving"
Cancer Type,cancer_type,str,string,0,0.0,2,"Breast Cancer, Breast Sarcoma"
Cancer Type Detailed,cancer_type_detailed,str,string,0,0.0,8,"Breast Invasive Ductal Carcinoma, Breast Mixed Ductal and Lobular Carcinoma, Breast Invasive Lobular Carcinoma, Invasive Breast Carcinoma, Breast Invasive Mixed Mucinous Carcinoma"
Cellularity,cellularity,str,string,592,0.23595057791948984,3,"High, Moderate, Low"
Chemotherapy,chemotherapy,str,string,529,0.21084097249900358,2,"No, Yes"
Pam50 + Claudin-low subtype,pam50_subtype,str,string,529,0.21084097249900358,7,"claudin-low, LumA, LumB, Normal, Her2"
Cohort,cohort,float64,float64,11,0.00438421681944998,9,"1.0, 2.0, 3.0, 5.0, 4.0"
ER status measured by IHC,er_status_measured_by_ihc,str,string,83,0.03308090872857712,2,"Positve, Negative"
ER Status,er_status,str,string,40,0.015942606616181746,2,"Positive, Negative"
Neoplasm Histologic Grade,grade,float64,float64,121,0.04822638501394978,3,"3.0, 2.0, 1.0"
HER2 status measured by SNP6,her2_status_measured_by_snp6,str,string,529,0.21084097249900358,4,"Neutral, Loss, Gain, Undef"
HER2 Status,her2_status,str,string,529,0.21084097249900358,2,"Negative, Positive"
Tumor Other Histologic Subtype,tumor_other_histologic_subtype,str,string,135,0.053806297329613395,8,"Ductal/NST, Mixed, Lobular, Tubular/ cribriform, Mucinous"
Hormone Therapy,hormone_therapy,str,string,529,0.21084097249900358,2,"Yes, No"
Inferred Menopausal State,inferred_menopausal_state,str,string,529,0.21084097249900358,2,"Post, Pre"
Integrative Cluster,integrative_cluster,str,string,529,0.21084097249900358,11,"4ER+, 3, 9, 7, 4ER-"
Primary Tumor Laterality,primary_tumor_laterality,str,string,639,0.2546831406935034,2,"Right, Left"
Lymph nodes examined positive,lymph_nodes_positive,float64,float64,266,0.10601833399760861,32,"10.0, 0.0, 1.0, 3.0, 8.0"
Mutation Count,mutation_count,float64,float64,152,0.06058190514149064,32,"2.0, 1.0, 4.0, 5.0, 3.0"
Nottingham prognostic index,npi,float64,float64,222,0.0884814667198087,436,"6.044, 4.02, 4.03, 4.05, 6.08"
Oncotree Code,oncotree_code,str,string,0,0.0,8,"IDC, MDLC, ILC, BRCA, IMMC"
Overall Survival (Months),survival_months,float64,float64,528,0.21044240733359904,1743,"140.5, 84.63333333, 163.7, 164.93333330000002, 41.36666667"
Overall Survival Status,status,str,int64,528,0.21044240733359904,2,"Living, Deceased"
PR Status,pr_status,str,string,529,0.21084097249900358,2,"Negative, Positive"
Radio Therapy,radio_therapy,str,string,529,0.21084097249900358,2,"Yes, No"
Relapse Free Status (Months),relapse_free_status_months,float64,float64,121,0.04822638501394978,1972,"138.65, 83.52, 151.28, 162.76, 18.55"
Relapse Free Status,relapse_free_status,str,string,21,0.008369868473495417,2,"Not Recurred, Recurred"
Sex,sex,str,string,0,0.0,1,Female
3-Gene classifier subtype,three_gene_subtype,str,string,745,0.296931048226385,4,"ER-/HER2-, ER+/HER2- High Prolif, ER+/HER2- Low Prolif, HER2+"
Tumor Size,tumor_size,float64,float64,149,0.059386209645277,138,"22.0, 10.0, 15.0, 25.0, 40.0"
Tumor Stage,stage,float64,float64,721,0.28736548425667596,5,"2.0, 1.0, 4.0, 3.0, 0.0"
Patient's Vital Status,patient_s_vital_status,str,string,529,0.21084097249900358,3,"Living, Died of Disease, Died of Other Causes"
