seed,model,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives,threshold_selected_on,selected_threshold
7,logistic_regression,0.5,0.6675531914893617,0.673421926910299,0.7472527472527473,0.6325581395348837,0.6851385390428212,0.6525911708253359,0.738957099523328,0.7797885418930102,0.21022397617413324,2.0,115,46,79,136,,
7,weighted_soft_voting,0.16,0.598404255319149,0.5341759352881699,0.5893854748603352,0.9813953488372092,0.7364746945898778,0.8661740558292282,0.7596995522172469,0.7959850747756146,0.19781041643974667,876.0,14,147,4,211,validation,0.16
21,logistic_regression,0.5,0.6569148936170213,0.6602195579950888,0.7287234042553191,0.6372093023255814,0.6799007444168734,0.6536259541984732,0.716336848187202,0.7527113491768112,0.2185666280832818,10.0,110,51,78,137,,
21,weighted_soft_voting,0.13,0.5877659574468085,0.5186335403726708,0.581081081081081,1.0,0.7350427350427351,0.8739837398373984,0.7369348548317204,0.7779559679086869,0.20613954786132221,920.0,6,155,0,215,validation,0.13
42,logistic_regression,0.5,0.6382978723404256,0.6439404882276469,0.7182320441988951,0.6046511627906976,0.6565656565656566,0.6243996157540826,0.7054456160624006,0.7242792721524547,0.22545506247129138,-81.0,110,51,85,130,,
42,weighted_soft_voting,0.16,0.6090425531914894,0.5442582695363282,0.5944444444444444,0.9953488372093023,0.7443478260869565,0.8770491803278688,0.7352015022389138,0.7585836496938047,0.20589491558393647,916.0,15,146,1,214,validation,0.16
84,logistic_regression,0.5,0.6595744680851063,0.6633251480572007,0.732620320855615,0.6372093023255814,0.681592039800995,0.6542502387774594,0.7422793586595406,0.7808126788066319,0.2082534992840897,11.0,111,50,78,137,,
84,weighted_soft_voting,0.12,0.5930851063829787,0.5248447204968945,0.5842391304347826,1.0,0.7375643224699828,0.8754071661237784,0.7556261736241514,0.7910009571861811,0.1982550883050686,922.0,8,153,0,215,validation,0.12
126,logistic_regression,0.5,0.6436170212765957,0.6462516250180558,0.7142857142857143,0.627906976744186,0.6683168316831684,0.6434699714013346,0.6851942799364437,0.7268829290215508,0.23436982834748904,-19.0,107,54,80,135,,
126,weighted_soft_voting,0.13,0.601063829787234,0.5349414993499928,0.5895316804407713,0.9953488372093023,0.740484429065744,0.874897792313982,0.7473927488083202,0.7948032142440054,0.20416307259435496,913.0,12,149,1,214,validation,0.13
