feature,auc_raw,auc_direction_adjusted
sleep_quality_score,0.7849061812924039,0.7849061812924039
sleep_duration_hrs,0.7737949636637526,0.7737949636637526
cognitive_performance_score,0.7705491628751915,0.7705491628751915
stress_score,0.287524797123636,0.712475202876364
work_hours_that_day,0.35464968749560993,0.64535031250439
wake_episodes_per_night,0.36484031365876385,0.6351596863412361
sleep_latency_mins,0.426752710902359,0.573247289097641
rem_percentage,0.5701458476659177,0.5701458476659177
shift_work,0.4630685551001789,0.536931444899821
screen_time_before_bed_mins,0.46914916821230435,0.5308508317876957
bmi,0.4706482673941817,0.5293517326058184
deep_sleep_percentage,0.5291469764167258,0.5291469764167258
heart_rate_resting_bpm,0.4759516850744779,0.5240483149255222
sleep_aid_used,0.5215291523345866,0.5215291523345866
alcohol_units_before_bed,0.479661498711894,0.520338501288106
caffeine_mg_before_bed,0.48803883082230126,0.5119611691776987
age,0.4895830164285906,0.5104169835714094
nap_duration_mins,0.49345369557868834,0.5065463044213117
steps_that_day,0.5047147845631796,0.5047147845631796
exercise_day,0.5046632381574749,0.5046632381574749
weekend_sleep_diff_hrs,0.4983844131073119,0.5016155868926881
room_temperature_celsius,0.49861448658092844,0.5013855134190716
